ID,Name,Country,League
p261591,Rooney,England,Icon
p261279,Casillas,Spain,Icon
p1179,Buffon,Italy,Icon
p1615,Thuram,France,Icon
p71557,Bale,Wales,Icon
p261278,Cafú,Brazil,Icon
p258779,Beckham,England,Icon
p257417,Šuker,Croatia,Icon
p256869,Fernando Torres,Spain,Icon
p256432,Čech,Czech Republic,Icon
p256339,Schweinsteiger,Germany,Icon
p256154,Lahm,Germany,Icon
p256014,Puskás,Hungary,Icon
p173731,Bale,Wales,Icon
p255910,Xavi,Spain,Icon
p269601,Xabi Alonso,Spain,Icon
p255758,Vidić,Serbia,Icon
p255477,Cantona,France,Icon
p255358,Eto'o,Cameroon,Icon
p255355,Cole,England,Icon
p254571,Riquelme,Argentina,Icon
p250891,Zambrotta,Italy,Icon
p41236,Ibrahimović,Sweden,Icon
p176676,Marcelo,Brazil,Icon
p176635,Özil,Germany,Icon
p248450,Zidane,France,Icon
p248155,Wright,England,Icon
p247706,Rush,Wales,Icon
p247701,Dalglish,Scotland,Icon
p247695,Drogba,Côte d'Ivoire,Icon
p247614,Pirlo,Italy,Icon
p247547,Sánchez,Mexico,Icon
p247514,Barnes,England,Icon
p247307,Essien,Ghana,Icon
p247301,Koeman,Netherlands,Icon
p247075,Kaká,Brazil,Icon
p243784,Ballack,Germany,Icon
p243712,Guardiola,Spain,Icon
p243078,Baggio,Italy,Icon
p243028,Campbell,England,Icon
p242950,Rivaldo,Brazil,Icon
p242939,Raúl,Spain,Icon
p242931,Gerrard,England,Icon
p242930,Lampard,England,Icon
p242927,Seedorf,Netherlands,Icon
p242860,Trezeguet,France,Icon
p242859,Makélélé,France,Icon
p242522,Cruyff,Netherlands,Icon
p242520,Eusébio,Portugal,Icon
p242518,Sócrates,Brazil,Icon
p242511,Klose,Germany,Icon
p239604,Butragueño,Spain,Icon
p239602,Nedvěd,Czech Republic,Icon
p239600,Keane,Republic of Ireland,Icon
p239598,Shearer,England,Icon
p239542,Stoichkov,Bulgaria,Icon
p239537,Scholes,England,Icon
