ID,Name,Country,League,Club
p241667,Aitana Bonmatí,Spain,Liga F,FC Barcelona
p227203,Alexia Putellas,Spain,Liga F,FC Barcelona
p227102,Hansen,Norway,Liga F,FC Barcelona
p227125,Kerr,Australia,Barclays WSL,Chelsea
p264012,Smith,United States,NWSL,Portland Thorns
p227310,Hegerberg,Norway,Arkema PL,OL
p236479,Mapi León,Spain,Liga F,FC Barcelona
p246272,Katoto,France,Arkema PL,Paris SG
p226893,Debinha,Brazil,NWSL,KC Current
p227361,Diani,France,Arkema PL,OL
p237289,Patri Guijarro,Spain,Liga F,FC Barcelona
p245802,Mead,England,Barclays WSL,Arsenal
p227316,Renard,France,Arkema PL,OL
p227323,Reiten,Norway,Barclays WSL,Chelsea
p227190,Irene Paredes,Spain,Liga F,FC Barcelona
p245956,Endler,Chile,Arkema PL,OL
p226302,Popp,Germany,GPFBL,VfL Wolfsburg
p233662,Karchaoui,France,Arkema PL,Paris SG
p232073,Swanson,United States,NWSL,Chicago Red Stars
p232075,Lavelle,United States,NWSL,NJ/NY Gotham
p241846,Pajor,Poland,Liga F,FC Barcelona
p246219,Shaw,Jamaica,Barclays WSL,Manchester City
p227013,Rolfö,Sweden,Liga F,FC Barcelona
p265674,Bacha,France,Arkema PL,OL
p257008,Hemp,England,Barclays WSL,Manchester City
p247504,Earps,England,Arkema PL,Paris SG
p265249,James,England,Barclays WSL,Chelsea
p248717,Oberdorf,Germany,GPFBL,FC Bayern München
p237197,Geyoro,France,Arkema PL,Paris SG
p257001,Kelly,England,Barclays WSL,Manchester City
p231432,Horan,United States,Arkema PL,OL
p244302,Schüller,Germany,GPFBL,FC Bayern München
p240714,Roord,Holland,Barclays WSL,Manchester City
p245872,Little,Scotland,Barclays WSL,Arsenal
p253436,Ona Batlle,Spain,Liga F,FC Barcelona
p238257,Bright,England,Barclays WSL,Chelsea
p227246,Bronze,England,Barclays WSL,Chelsea
p235657,Daly,England,Barclays WSL,Aston Villa
p227110,Foord,Australia,Barclays WSL,Arsenal
p247789,Frohms,Germany,GPFBL,VfL Wolfsburg
p227073,Girelli,Italy,Calcio A Femminile,Juventus
p226375,Hendrich,Germany,GPFBL,VfL Wolfsburg
p227337,Huth,Germany,GPFBL,VfL Wolfsburg
p227392,Lawrence,Canada,Barclays WSL,Chelsea
p227331,Le Sommer,France,Arkema PL,OL
p245697,Mateo,France,Arkema PL,Paris FC
p265239,McCabe,Republic of Ireland,Barclays WSL,Arsenal
p233746,Miedema,Holland,Barclays WSL,Manchester City
p246641,Nnadozie,Nigeria,Arkema PL,Paris FC
p246629,Oshoala,Nigeria,NWSL,Bay FC
p258980,Russo,England,Barclays WSL,Arsenal
p226177,Sauerbrunn,United States,NWSL,Portland Thorns
p237673,Sheridan,Canada,NWSL,San Diego Wave
p242830,Walsh,England,Liga F,FC Barcelona
p246426,Williamson,England,Barclays WSL,Arsenal
p261733,Baltimore,France,Barclays WSL,Chelsea
p258310,Berger,Germany,NWSL,NJ/NY Gotham
p247797,Blundell,England,Barclays WSL,Manchester Utd
p227096,Boattin,Italy,Calcio A Femminile,Juventus
p227383,Buchanan,Canada,Barclays WSL,Chelsea
p237288,Mariona,Spain,Barclays WSL,Arsenal
p238212,Campbell,United States,NWSL,Houston Dash
p262330,Catarina Macario,United States,Barclays WSL,Chelsea
p266933,Caruso,Italy,Calcio A Femminile,Juventus
p278219,Chawinga,Malawi,Arkema PL,OL
p227327,Däbritz,Germany,Arkema PL,OL
p239345,Dallmann,Germany,GPFBL,FC Bayern München
p238470,Doorsoun,Germany,GPFBL,Frankfurt
p226336,Dunn,United States,NWSL,NJ/NY Gotham
p242896,Engen,Norway,Liga F,FC Barcelona
p227095,Giugliano,Italy,Calcio A Femminile,Roma
p227254,Greenwood,England,Barclays WSL,Manchester City
p259287,Harder,Denmark,GPFBL,FC Bayern München
p245830,Hasegawa,Japan,Barclays WSL,Manchester City
p226979,Ilestedt,Sweden,Barclays WSL,Arsenal
p233756,Janssen,Holland,Barclays WSL,Manchester Utd
p227255,Kirby,England,Barclays WSL,Brighton
p227350,Majri,France,Arkema PL,OL
p227346,Mbock,France,Arkema PL,Paris SG
p264939,Prašnikar,Slovenia,GPFBL,Frankfurt
p246774,Alba Redondo,Spain,Liga F,Real Madrid CF
p266928,Rodman,United States,NWSL,Washington Spirit
p243404,Stanway,England,GPFBL,FC Bayern München
p263011,Toone,England,Barclays WSL,Manchester Utd
p226890,Marta,Brazil,NWSL,Orlando Pride
p264886,Viggósdóttir,Iceland,GPFBL,FC Bayern München
p245879,Weir,Scotland,Liga F,Real Madrid CF
p265242,Zinsberger,Austria,Barclays WSL,Arsenal
p246630,Ajibade,Nigeria,Liga F,Atlético de Madrid
p240717,Beerensteyn,Holland,GPFBL,VfL Wolfsburg
p264968,Bourdieu,France,Arkema PL,Paris FC
p248822,Bühl,Germany,GPFBL,FC Bayern München
p262457,Olga Carmona,Spain,Liga F,Real Madrid CF
p240030,Carpenter,Australia,Arkema PL,OL
p227119,Catley,Australia,Barclays WSL,Arsenal
p268942,Cata Coll,Spain,Liga F,FC Barcelona
p245882,Cuthbert,Scotland,Barclays WSL,Chelsea
p265898,Dumornay,Haiti,Arkema PL,OL
p265536,Damaris Egurrola,Holland,Arkema PL,OL
p226998,Eriksson,Sweden,GPFBL,FC Bayern München
p267201,Fishlock,Wales,NWSL,Seattle Reign
p261773,Freigang,Germany,GPFBL,Frankfurt
p265275,Galton,England,Barclays WSL,Manchester Utd
p247513,Gilles,Canada,Arkema PL,OL
p247788,Gwinn,Germany,GPFBL,FC Bayern München
p266816,Kingsbury,United States,NWSL,Washington Spirit
p226997,Kumagai,Japan,Calcio A Femminile,Roma
p272076,Kundananji,Zambia,NWSL,Bay FC
p227069,Linari,Italy,Calcio A Femminile,Roma
p233748,Martens van Leer,Holland,Arkema PL,Paris SG
p226335,Naeher,United States,NWSL,Chicago Red Stars
p267275,Nagasato,Japan,NWSL,Houston Dash
p264994,Naschenweng,Austria,GPFBL,FC Bayern München
p265252,Neville,England,Barclays WSL,Spurs
p264895,Picaud,France,Arkema PL,FC Fleury 91
p262531,Claudia Pina,Spain,Liga F,FC Barcelona
p272001,Ramírez,Colombia,Barclays WSL,Chelsea
p266091,Sanchez,United States,NWSL,NC Courage
p241545,Sarr,France,NWSL,Washington Spirit
p226303,Schult,Germany,NWSL,KC Current
p226359,Sinclair,Canada,NWSL,Portland Thorns
p233747,Spitse,Holland,Nederland Vrouwen Liga,Ajax
p245839,Sugita,Japan,NWSL,Portland Thorns
p227326,Thiney,France,Arkema PL,Paris FC
p265240,Wälti,Switzerland,Barclays WSL,Arsenal
p236640,Williams,United States,NWSL,NJ/NY Gotham
p264892,Bachmann,Switzerland,NWSL,Houston Dash
p253175,Luana,Brazil,NWSL,Orlando Pride
p267215,Bixby,United States,NWSL,Portland Thorns
p233364,Blackstenius,Sweden,Barclays WSL,Arsenal
p227072,Bonansea,Italy,Calcio A Femminile,Juventus
p227357,Butel,France,NWSL,Washington Spirit
p227421,Rafaelle,Brazil,NWSL,Orlando Pride
p264963,Corboz,France,Arkema PL,Paris FC
p272009,Antônia Silva,Brazil,Liga F,Real Madrid CF
p227353,Dali,France,Barclays WSL,Aston Villa
p259372,Athenea,Spain,Liga F,Real Madrid CF
p267268,DiBernardo,United States,NWSL,KC Current
p256489,England,England,Barclays WSL,Spurs
p272007,Paula Fernández,Spain,Liga F,Levante UD
p232077,Franch,United States,NWSL,KC Current
p272201,García,Venezuela,Liga F,Atlético de Madrid
p228168,Giacinti,Italy,Calcio A Femminile,Roma
p241546,Gréboval,France,Arkema PL,Paris FC
p266973,Greggi,Italy,Calcio A Femminile,Roma
p227101,Haavi,Norway,Calcio A Femminile,Roma
p264986,Hagel,Germany,GPFBL,VfL Wolfsburg
p243263,Hatch,United States,NWSL,Washington Spirit
p248715,Hegering,Germany,GPFBL,VfL Wolfsburg
p242024,Huerta,United States,NWSL,Seattle Reign
p266549,Ji So Yun,Korea Republic,NWSL,Seattle Reign
p266384,Jónsdóttir,Iceland,GPFBL,VfL Wolfsburg
p226329,Klingenberg,United States,NWSL,Portland Thorns
p247791,Lohmann,Germany,GPFBL,FC Bayern München
p239761,Maanum,Norway,Barclays WSL,Arsenal
p267339,Mace,United States,NWSL,KC Current
p258706,Malard,France,Barclays WSL,Manchester Utd
p265063,Minge,Germany,GPFBL,VfL Wolfsburg
p243775,Murphy,United States,NWSL,NC Courage
p233150,Leila Ouahabi,Spain,Barclays WSL,Manchester City
p235659,Parris,England,Barclays WSL,Manchester Utd
p264954,Pawollek,Poland,GPFBL,Frankfurt
p236428,Périsset,France,Barclays WSL,Chelsea
p246178,Peyraud-Magnin,France,Calcio A Femminile,Juventus
p233838,Rauch,Germany,NWSL,NC Courage
p258789,Misa,Spain,Liga F,Real Madrid CF
p227074,Salvai,Italy,Calcio A Femminile,Juventus
p227405,Schmidt,Canada,NWSL,Houston Dash
p226985,Schough,Sweden,Sverige Liga,FC Rosengård
p227410,Scott,Canada,NWSL,KC Current
p262058,Sellner,Germany,GPFBL,VfL Wolfsburg
p232074,Sonnett,United States,NWSL,NJ/NY Gotham
p246287,Ángela Sosa,Spain,Liga F,Levante UD
p233751,van de Donk,Holland,Arkema PL,OL
p227113,van Egmond,Australia,NWSL,San Diego Wave
p272208,Vanegas,Colombia,Liga F,Real Sociedad
p264947,Anyomi,Germany,GPFBL,Frankfurt
p227348,Asseyi,France,Barclays WSL,West Ham
p272008,Leire Baños,Spain,Liga F,Athletic Club
p233246,Barnes,United States,NWSL,Seattle Reign
p261740,Brand,Germany,GPFBL,VfL Wolfsburg
p263007,Charles,England,Barclays WSL,Chelsea
p231736,Colaprico,United States,NWSL,San Diego Wave
p248794,Geyse,Brazil,Barclays WSL,Manchester Utd
p253469,De Almeida,France,Arkema PL,Paris SG
p264866,Deslandes,France,Arkema PL,Montpellier
p264884,Dudek,Poland,Arkema PL,Paris SG
p265860,Dufour,France,Arkema PL,Paris FC
p259334,Nerea Eizagirre,Spain,Liga F,Real Sociedad
p233341,Erceg,New Zealand,NWSL,Rac. Louisville
p248343,Fox,United States,Barclays WSL,Arsenal
p267382,Girma,United States,NWSL,San Diego Wave
p233244,Esther,Spain,NWSL,NJ/NY Gotham
p267269,Hill,United States,NWSL,Bay FC
p226973,Jakobsson,Sweden,NWSL,San Diego Wave
p227369,Jensen,Norway,Liga F,Atlético de Madrid
p264971,Kamczyk,Poland,Arkema PL,FC Fleury 91
p239343,Kayikci,Germany,GPFBL,SC Freiburg
p267336,LaBonta,United States,NWSL,KC Current
p265293,Le Tissier,England,Barclays WSL,Manchester Utd
p265311,Lehmann,Switzerland,Calcio A Femminile,Juventus
p226316,Leroux,United States,NWSL,Angel City FC
p226354,Leupolz,Germany,Liga F,Real Madrid CF
p226308,Marozsán,Germany,Arkema PL,OL
p272112,Carmen Menayo,Spain,Liga F,Atlético de Madrid
p267272,Milazzo,United States,NWSL,Chicago Red Stars
p227257,Nobbs,England,Barclays WSL,Aston Villa
p238422,Gabi Nunes,Brazil,Liga F,Levante UD
p262093,Nüsken,Germany,Barclays WSL,Chelsea
p265319,Pacheco,England,Barclays WSL,Aston Villa
p226327,Press,United States,NWSL,Angel City FC
p227067,Rosucci,Italy,Calcio A Femminile,Juventus
p262545,Amaiur Sarriegi,Spain,Liga F,Real Sociedad
p226975,Seger,Sweden,Sverige Liga,FC Rosengård
p226991,Sembrant,Sweden,GPFBL,FC Bayern München
p239344,Simon,Germany,GPFBL,FC Bayern München
p243261,Sullivan,United States,NWSL,Washington Spirit
p227344,Toletti,France,Liga F,Real Madrid CF
p261514,Viens,Canada,Calcio A Femminile,Roma
p263013,Wubben-Moy,England,Barclays WSL,Arsenal
p226897,Bia Zaneratto,Brazil,NWSL,KC Current
p258576,Tere Abelleira,Spain,Liga F,Real Madrid CF
p245962,Araya,Chile,Liga F,Madrid CFF
p271942,Ane Azkona,Spain,Liga F,Athletic Club
p265857,Bilbault,France,Arkema PL,Montpellier
p265001,Billa,Austria,GPFBL,1. FC Köln
p264864,Bussy,France,Arkema PL,Paris FC
p272010,Calligaris,Switzerland,Calcio A Femminile,Juventus
p268303,Castellanos,Venezuela,NWSL,Bay FC
p265901,Corboz,United States,Arkema PL,Stade de Reims
p227351,Dafeur,Algeria,Arkema PL,FC Fleury 91
p236641,Dahlkemper,United States,NWSL,Bay FC
p244045,Davidson,United States,NWSL,NJ/NY Gotham
p264933,Dunst,Austria,GPFBL,Frankfurt
p247811,Endo,Japan,NWSL,Angel City FC
p264940,Feiersinger,Austria,GPFBL,1. FC Köln
p265900,Feller,France,Liga F,Real Madrid CF
p261835,Tatiana Pinto,Portugal,Liga F,Atlético de Madrid
p227387,Fleming,Canada,NWSL,Portland Thorns
p269131,Franssi,Finland,Liga F,Real Sociedad
p227204,Lola Gallardo,Spain,Liga F,Atlético de Madrid
p265861,Garbino,France,Arkema PL,Paris FC
p239791,Glas,Sweden,NWSL,Seattle Reign
p272081,Ana González,Spain,Liga F,Levante Badalona
p272145,Sheila,Spain,Liga F,Atlético de Madrid
p267368,Haračić,Bosnia and Herzegovina,NWSL,Angel City FC
p271945,Oihane Hernández,Spain,Liga F,Real Madrid CF
p265250,Ingle,Wales,Barclays WSL,Chelsea
p267234,Kerolin Nicoli,Brazil,NWSL,NC Courage
p265069,Karl,Germany,GPFBL,SC Freiburg
p266568,Keating,England,Barclays WSL,Manchester City
p257530,Kleinherne,Germany,GPFBL,Frankfurt
p268262,Kouassi,Côte d'Ivoire,NWSL,Washington Spirit
p265271,Ladd,Wales,Barclays WSL,Manchester Utd
p265849,Lakrar,France,Liga F,Real Madrid CF
p247790,Lattwein,Germany,GPFBL,VfL Wolfsburg
p267321,Lund,United States,NWSL,Rac. Louisville
p272050,Martín-Prieto,Spain,Liga Portugal Feminino,SL Benfica
p272110,Andrea Medina,Spain,Liga F,Atlético de Madrid
p265058,Memeti,Kosovo,GPFBL,TSG Hoffenheim
p272013,Nuria Mendoza,Spain,Liga F,Madrid CFF
p226318,O'Hara,United States,NWSL,NJ/NY Gotham
p267238,O'Sullivan,Republic of Ireland,NWSL,NC Courage
p243769,Purce,United States,NWSL,NJ/NY Gotham
p264936,Reuteler,Switzerland,GPFBL,Frankfurt
p265843,Robert,France,Arkema PL,FC Fleury 91
p265035,Senß,Germany,GPFBL,Frankfurt
p227191,Marta Torrejón,Spain,Liga F,FC Barcelona
p231347,Torrent,France,Arkema PL,Montpellier
p256302,Ainhoa Moraza,Spain,Liga F,Atlético de Madrid
p264903,Zadrazil,Austria,GPFBL,FC Bayern München
p265023,Agrež,Slovenia,GPFBL,1. FC Köln
p264987,Aigbogun,Switzerland,Calcio A Femminile,Roma
p272202,Iris Arnaiz,Spain,Liga F,Sevilla FC
p267329,Ball,United States,NWSL,KC Current
p246356,Banini,Argentina,Liga F,Levante Badalona
p265262,Bartrip,England,Barclays WSL,Spurs
p265905,Becho,France,Arkema PL,OL
p227330,Benkarth,Germany,Arkema PL,OL
p265280,Bøe Risa,Norway,Liga F,Atlético de Madrid
p264946,Bruun,Denmark,Liga F,Real Madrid CF
p273153,Caicedo,Colombia,Liga F,Real Madrid CF
p271568,Čanković,Serbia,Barclays WSL,Brighton
p264865,Chavas,France,Liga F,Real Madrid CF
p241549,Cissoko,France,Calcio A Femminile,Roma
p267217,Coffey,United States,NWSL,Portland Thorns
p246364,Cometti,Argentina,Liga F,Madrid CFF
p264890,Damnjanović,Serbia,GPFBL,FC Bayern München
p261843,Andreia Jacinto,Portugal,Liga F,Real Sociedad
p267677,Tainara,Brazil,GPFBL,FC Bayern München
p233839,Demann,Germany,GPFBL,VfL Wolfsburg
p267318,DeMelo,United States,NWSL,Rac. Louisville
p272084,Lauren,Brazil,Liga F,Atlético de Madrid
p265073,Felde,Germany,GPFBL,SC Freiburg
p264991,Feldkamp,Germany,GPFBL,TSG Hoffenheim
p265937,Fleury,France,Arkema PL,FC Nantes
p242797,Rocío Gálvez,Spain,Liga F,Real Madrid CF
p256303,Shei,Spain,Liga F,Real Madrid CF
p241182,Gemma Gili,Spain,Liga F,Sevilla FC
p264982,Grabowska,Poland,GPFBL,TSG Hoffenheim
p233852,Groenen,Holland,Arkema PL,Paris SG
p264899,Grohs,Germany,GPFBL,FC Bayern München
p267497,Groom,United States,NWSL,Chicago Red Stars
p264990,Hartig,Germany,GPFBL,TSG Hoffenheim
p264969,Jean-François,France,Barclays WSL,Chelsea
p265054,Johannes,Germany,GPFBL,Frankfurt
p227109,Kennedy,Australia,Barclays WSL,Manchester City
p265020,Kössler,Germany,GPFBL,TSG Hoffenheim
p266937,Lenzini,Italy,Calcio A Femminile,Juventus
p272213,Elene Lete,Spain,Liga F,Real Sociedad
p264807,Levasseur,Canada,Arkema PL,Montpellier
p267289,Lind,United States,NWSL,Houston Dash
p228628,Maitane,Spain,NWSL,NJ/NY Gotham
p265243,Maritz,Switzerland,Barclays WSL,Aston Villa
p265326,Mayling,England,Barclays WSL,Aston Villa
p267386,McNabb,United States,NWSL,San Diego Wave
p271944,Maria Méndez,Spain,Liga F,Real Madrid CF
p226351,Mewis,United States,Barclays WSL,West Ham
p247805,Minami,Japan,Calcio A Femminile,Roma
p268992,Møller,Denmark,Liga F,Real Madrid CF
p265072,Müller,Germany,NWSL,Portland Thorns
p243379,Mušović,Sweden,Barclays WSL,Chelsea
p272212,Adriana Nanclares,Spain,Liga F,Athletic Club
p261855,Kika Nazareth,Portugal,Liga F,FC Barcelona
p262458,Maite Oroz,Spain,Liga F,Real Madrid CF
p269404,Salma Paralluelo,Spain,Liga F,FC Barcelona
